"STRUCTURE_Parent_SMILES ","STRUCTURE_InChI ","ActivityOutcome_CPDBAS_MultiCellCall ","STRUCTURE_Shown ","TestSubstance_ChemicalName ","ActivityScore_CPDBAS_Rat ","TD50_Hamster_mg mg","TD50_Rat_mmol mmol","ActivityOutcome_CPDBAS_SingleCellCall ","TD50_Rat_Note ","STRUCTURE_MolecularWeight ","TD50_Dog_mg mg","TargetSites_Mouse_BothSexes ","DSSTox_CID ","STRUCTURE_ChemicalName_IUPAC ","NTP_TechnicalReport ","TD50_Cynomolgus_mg mg","ActivityOutcome_CPDBAS_Rat ","ActivityOutcome_CPDBAS_Mutagenicity ","ActivityScore_CPDBAS_Mouse ","STRUCTURE_InChIKey ","ChemicalNote ","ActivityOutcome_CPDBAS_MultiCellCall_Details ","TestSubstance_CASRN ","DSSTox_RID ","TargetSites_Mouse_Male ","TD50_Dog_Primates_Note ","STRUCTURE_Formula ","TD50_Rat_mg mg","TestSubstance_Description ","ActivityScore_CPDBAS_Hamster ","Endpoint ","TargetSites_Cynomolgus ","STRUCTURE_TestedForm_DefinedOrganic ","StudyType ","Note_CPDBAS ","TargetSites_Rhesus ","DSSTox_FileID ","TD50_Mouse_mmol mmol","ActivityOutcome_CPDBAS_Dog_Primates ","ChemicalPage_URL ","TD50_Mouse_Note ","ActivityOutcome_CPDBAS_Hamster ","TD50_Mouse_mg mg","STRUCTURE_ChemicalType ","TargetSites_Rat_Male ","TargetSites_Hamster_Female ","TargetSites_Dog ","TargetSites_Mouse_Female ","TargetSites_Hamster_BothSexes ","STRUCTURE_SMILES ","ActivityOutcome_CPDBAS_Mouse ","TargetSites_Rat_BothSexes ","TargetSites_Hamster_Male ","TD50_Hamster_mmol mmol","TD50_Hamster_Note ","Species ","TargetSites_Rat_Female ","DSSTox_Generic_SID ","TD50_Rhesus_mg mg"
"NC1=C(C=CC(=C1)NC(=O)C)OCC","InChI=1/C10H14N2O2/c1-3-14-10-5-4-8(6-9(10)11)12-7(2)13/h4-6H,3,11H2,1-2H3,(H,12,13)/f/h12H","","tested chemical","3-Amino-4-ethoxyacetanilide",0.0,,,"active","no positive results",194.2303924560547,,"",53.0,"N-[3-amino-4-(ethyloxy)phenyl]acetamide","TR 112",,"inactive","active",17.0,"XTXFAVHDQCHWCS-XWKXFZRBCV","","","17026-81-2",20053.0,"thyroid gland","","C10H14N2O2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","54_CPDBAS_v5d",10.699999809265137,"","http://potency.berkeley.edu/chempages/3-AMINO-4-ETHOXYACETANILIDE.html","","",2070.0,"defined organic","no positive results","","","no positive results","","NC1=C(C=CC(=C1)NC(=O)C)OCC","active","","",,"","rat; mouse","no positive results",20053.0,
"CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N)","InChI=1/C14H14N2.ClH/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16;/h3-9H,2,15H2,1H3;1H","active","tested chemical","3-Amino-9-ethylcarbazole.HCl",32.0,,0.23199999332427979,"active","TD50 is harmonic mean of more than one positive test",246.7353057861328,,"",54.0,"9-ethyl-9H-carbazol-3-amine hydrochloride","TR 93",,"active","active",37.0,"UUYSTZWIFZYHRM-UHFFFAOYAB","parent [132-32-1]","multisite active; multisex active; multispecies active","6109-97-3",20054.0,"liver","","C14H15ClN2",57.20000076293945,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","55_CPDBAS_v5d",0.15600000321865082,"","http://potency.berkeley.edu/chempages/3-AMINO-9-ETHYLCARBAZOLE.HCl.html","TD50 is harmonic mean of more than one positive test","",38.599998474121094,"defined organic","ear Zymbals gland; liver; skin","","","liver","","CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N).[H]Cl","active","","",,"","rat; mouse","ear Zymbals gland; liver; uterus",20054.0,
"CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N)","InChI=1/C14H14N2/c1-2-16-13-6-4-3-5-11(13)12-9-10(15)7-8-14(12)16/h3-9H,2,15H2,1H3","active","representative component in mixture","3-Amino-9-ethylcarbazole mixture",50.0,,,"active","TD50 is harmonic mean of more than one positive test; TD50_Rat_mmol was not calculated for this mixture, but Activiity Score is assigned value of "50" to indicate active",210.27439880371094,,"",55.0,"9-ethyl-9H-carbazol-3-amine","TR 93",,"active","active",50.0,"OXEUETBFKVCRNP-UHFFFAOYAV","mixture, structure shown 3-Amino-9-ethylcarbazole [132-32-1]","multisite active; multisex active; multispecies active","NOCAS",20055.0,"liver","","C14H15N2",26.399999618530273,"mixture or formulation",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TD50_Rat_mmol and TD50_Mouse_mmol conversions from mg values not provided due substance being a mixture","","56_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/3-AMINO-9-ETHYLCARBAZOLE%20MIXTURE.html","TD50 is harmonic mean of more than one positive test","",38.0,"defined organic","ear Zymbals gland; liver; skin","","","liver","","CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N)","active","","",,"","rat; mouse","ear Zymbals gland",20055.0,
"N=C(N)NC1=NC(CSCCNC2=NSN=C2N)=CS1","InChI=1/C9H14N8S3/c10-6-7(17-20-16-6)13-1-2-18-3-5-4-19-9(14-5)15-8(11)12/h4H,1-3H2,(H2,10,16)(H,13,17)(H4,11,12,14,15)/f/h11,13,15H,10,12H2","active","tested chemical","3-Amino-4-[2-[(2-guanidinothiazol-4-yl)methylthio], ethylamino]-1,2,5-thiadiazole",14.0,,15.100000381469727,"active","TD50 is harmonic mean of more than one positive test",330.4560852050781,,"",56.0,"1-{4-[({2-[(4-amino-1,2,5-thiadiazol-3-yl)amino]ethyl}sulfanyl)methyl]-1,3-thiazol-2-yl}guanidine","",,"active","",,"MOMKQYRYLQUFMV-GVMYFUFNCD","BL-6341","multisex active","78441-84-6",20056.0,"","","C9H14N8S3",4990.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Rat added v2a; CPDB lists HCl complex in some instances in tables but referenced study for this chemical does not specify HCl complex - parent is assumed correct","","57_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/3-AMINO-4-[2-[(2-GUANIDINOTHIAZOL-4-YL)METHYLTHIO].html","","",,"defined organic","stomach","","","","","N=C(N)NC1=NC(CSCCNC2=NSN=C2N)=CS1","","","",,"","rat","stomach",39236.0,
"O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N","InChI=1/C15H11NO2/c1-8-6-7-11-12(13(8)16)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,16H2,1H3","active","tested chemical","1-Amino-2-methylanthraquinone",32.0,,0.25,"active","TD50 is harmonic mean of more than one positive test",237.2532958984375,,"",57.0,"1-amino-2-methylanthracene-9,10-dione","TR 111",,"active","active",30.0,"ZLCUIOWQYBYEBG-UHFFFAOYAP","C.I. 60700","multisite active; multisex active; multispecies active","82-28-0",20057.0,"no positive results","","C15H11NO2",59.20000076293945,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","58_CPDBAS_v5d",0.7329999804496765,"","http://potency.berkeley.edu/chempages/1-AMINO-2-METHYLANTHRAQUINONE.html","","",174.0,"defined organic","kidney; liver","","","liver","","O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N","active","","",,"","rat; mouse","liver",20057.0,
"O1C(=NN=C1C2OC(=CC=2)[N+](=O)[O-])N","InChI=1/C6H4N4O4/c7-6-9-8-5(14-6)3-1-2-4(13-3)10(11)12/h1-2H,(H2,7,9)/f/h7H2","active","tested chemical","2-Amino-5-(5-nitro-2-furyl)-1,3,4-oxadiazole",44.0,,0.018699999898672104,"active","",196.1219940185547,,"",58.0,"5-(5-nitrofuran-2-yl)-1,3,4-oxadiazol-2-amine","",,"active","",,"VTWQUFUBSCXPOW-IAUQMDSZCD","","multisite active","3775-55-1",20058.0,"","","C6H4N4O4",3.6700000762939453,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","59_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE.html","","",,"defined organic","","","","","","O1C(=NN=C1C2OC(=CC=2)[N+](=O)[O-])N","","","",,"","rat","kidney; lung; mammary gland; stomach",20058.0,
"NC1=NN=C(C2=CC=C([N+]([O-])=O)O2)S1","InChI=1/C6H4N4O3S/c7-6-9-8-5(14-6)3-1-2-4(13-3)10(11)12/h1-2H,(H2,7,9)/f/h7H2","active","tested chemical","2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",52.0,,0.003100000089034438,"active","",212.18260192871094,,"",59.0,"5-(5-nitrofuran-2-yl)-1,3,4-thiadiazol-2-amine","",,"active","",,"SXZZHGJWUBJKHH-IAUQMDSZCG","","multisite active","712-68-5",20059.0,"","","C6H4N4O3S",0.6620000004768372,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","60_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-5-(5-NITRO-2-FURYL)-1,3,4-THIADIAZOLE.html","","",,"defined organic","","","","","","NC1=NN=C(C2=CC=C([N+]([O-])=O)O2)S1","","","",,"","rat","kidney; lung; mammary gland; stomach",20059.0,
"NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1","InChI=1/C7H5N3O3S/c8-7-9-4(3-14-7)5-1-2-6(13-5)10(11)12/h1-3H,(H2,8,9)/f/h8H2","active","tested chemical","2-Amino-4-(5-nitro-2-furyl)thiazole",42.0,,0.027699999511241913,"active","",211.19479370117188,,"",60.0,"4-(5-nitrofuran-2-yl)-1,3-thiazol-2-amine","",,"active","active",44.0,"ZAVLMIGIVYJYMU-FSHFIPFOCT","","multisite active; multispecies active","38514-71-5",20060.0,"","","C7H5N3O3S",5.849999904632568,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","61_CPDBAS_v5d",0.037300001829862595,"","http://potency.berkeley.edu/chempages/2-AMINO-4-(5-NITRO-2-FURYL)THIAZOLE.html","","",7.869999885559082,"defined organic","","","","stomach","","NC1=NC(C2=CC=C([N+]([O-])=O)O2)=CS1","active","","",,"","rat; mouse","stomach; urinary bladder",39237.0,
"NC1=NC(/C=C/C2=CC=C([N+]([O-])=O)O2)=NO1","InChI=1/C8H6N4O4/c9-8-10-6(11-16-8)3-1-5-2-4-7(15-5)12(13)14/h1-4H,(H2,9,10,11)/b3-1+/f/h9H2","active","tested chemical","trans-5-Amino-3[2-(5-nitro-2-furyl)vinyl]-1,2,4-oxadiazole",,,,"active","",222.15980529785156,,"",61.0,"3-[(E)-2-(5-nitrofuran-2-yl)ethenyl]-1,2,4-oxadiazol-5-amine","",,"","",32.0,"RMZNNIOKNRDECR-OYGOROAMDP","stereochem","multisite active; multisex active","28754-68-9",20061.0,"hematopoietic system; stomach","","C8H6N4O4",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","62_CPDBAS_v5d",0.5040000081062317,"","http://potency.berkeley.edu/chempages/trans-5-AMINO-3[2-(5-NITRO-2-FURYL)VINYL]-1,2,4-OX.html","TD50 is harmonic mean of more than one positive test","",112.0,"defined organic","","","","hematopoietic system; stomach","","NC1=NC(/C=C/C2=CC=C([N+]([O-])=O)O2)=NO1","active","","",,"","mouse","",20061.0,
"O=[N+](C1=CC(=C(C=C1)O)N)[O-]","InChI=1/C6H6N2O3/c7-5-3-4(8(10)11)1-2-6(5)9/h1-3,9H,7H2","","tested chemical","2-Amino-4-nitrophenol",18.0,,5.440000057220459,"active","",154.12339782714844,,"",62.0,"2-amino-4-nitrophenol","TR 339",,"active","active",0.0,"VLZVIIYRNMWPSN-UHFFFAOYAN","","","99-57-0",20062.0,"no positive results","","C6H6N2O3",839.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","63_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-4-NITROPHENOL.html","no positive results","",,"defined organic","kidney","","","no positive results","","O=[N+](C1=CC(=C(C=C1)O)N)[O-]","inactive","","",,"","rat; mouse","no positive results",20062.0,
"O=[N+](C1=CC(=C(C=C1)N)O)[O-]","InChI=1/C6H6N2O3/c7-5-2-1-4(8(10)11)3-6(5)9/h1-3,9H,7H2","","tested chemical","2-Amino-5-nitrophenol",27.0,,0.7200000286102295,"active","",154.12339782714844,,"",63.0,"2-amino-5-nitrophenol","TR 334",,"active","active",0.0,"DOPJTDJKZNWLRB-UHFFFAOYAU","","","121-88-0",20063.0,"no positive results","","C6H6N2O3",111.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","64_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-5-NITROPHENOL.html","no positive results","",,"defined organic","pancreas","","","no positive results","","O=[N+](C1=CC(=C(C=C1)N)O)[O-]","inactive","","",,"","rat; mouse","no positive results",20063.0,
"OC1=C(C=C(C=C1)N)[N+](=O)[O-]","InChI=1/C6H6N2O3/c7-4-1-2-6(9)5(3-4)8(10)11/h1-3,9H,7H2","","tested chemical","4-Amino-2-nitrophenol",23.0,,2.0,"active","",154.12339782714844,,"",64.0,"4-amino-2-nitrophenol","TR 94",,"active","active",0.0,"WHODQVWERNSQEO-UHFFFAOYAM","","","119-34-6",20064.0,"no positive results","","C6H6N2O3",309.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","65_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/4-AMINO-2-NITROPHENOL.html","no positive results","",,"defined organic","urinary bladder","","","no positive results","","OC1=C(C=C(C=C1)N)[N+](=O)[O-]","inactive","","",,"","rat; mouse","no positive results",20064.0,
"NC1=NC(C2=CC=C([N+]([O-])=O)C=C2)=CS1","InChI=1/C9H7N3O2S/c10-9-11-8(5-15-9)6-1-3-7(4-2-6)12(13)14/h1-5H,(H2,10,11)/f/h10H2","","tested chemical","2-Amino-4-(p-nitrophenyl)thiazole",,,,"active","",221.2332000732422,,"",65.0,"4-(4-nitrophenyl)-1,3-thiazol-2-amine","",,"","",43.0,"RIKJWJIWXCUKQV-GIMVELNWCN","","","2104-09-8",20065.0,"","","C9H7N3O2S",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","66_CPDBAS_v5d",0.04500000178813934,"","http://potency.berkeley.edu/chempages/2-AMINO-4-(p-NITROPHENYL)THIAZOLE.html","","",9.949999809265137,"defined organic","","","","hematopoietic system","","NC1=NC(C2=CC=C([N+]([O-])=O)C=C2)=CS1","active","","",,"","mouse","",39238.0,
"O=[N+](C1=CN=C(S1)N)[O-]","InChI=1/C3H3N3O2S/c4-3-5-1-2(9-3)6(7)8/h1H,(H2,4,5)/f/h4H2","active","tested chemical","2-Amino-5-nitrothiazole",31.0,,0.3070000112056732,"active","",145.13980102539062,,"",66.0,"5-nitro-1,3-thiazol-2-amine","TR 53; final call in CPDB differs due to additional data; NTP-assigned level of evidence of carcinogenicity is "positive" in male rat; noting that "these experiments were particularly difficult to evaluate".",,"active","active",0.0,"MIHADVKEHAFNPG-LGEMBHMGCP","","multisite active","121-66-4",20066.0,"no positive results","","C3H3N3O2S",44.599998474121094,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","TargetSites_Rat_Male modified v5d","","67_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-5-NITROTHIAZOLE.html","no positive results","",,"defined organic","no positive results - CPDB evaluation based on NCI Technical Report","","","no positive results","","O=[N+](C1=CN=C(S1)N)[O-]","inactive","","",,"","rat; mouse","kidney; lung; mammary gland",20066.0,
"NC1=NC(C(C2=CC=CC=C2)O1)=O","InChI=1/C9H8N2O2.Mg.2H2O/c10-9-11-8(12)7(13-9)6-4-2-1-3-5-6;;;/h1-5,7H,(H2,10,11,12);;2*1H2/q;+2;;/p-2/fC9H8N2O2.Mg.2HO/h10H2;;2*1h/q;m;2*-1/rC9H8N2O2.H2MgO2/c10-9-11-8(12)7(13-9)6-4-2-1-3-5-6;2-1-3/h1-5,7H,(H2,10,11,12);2-3H/f/h10H2;","","tested chemical","2-Amino-5-phenyl-2-oxazolin-4-one + Mg(OH)2",0.0,,,"inactive","no positive results",234.49400329589844,,"",67.0,"2-amino-5-phenyl-1,3-oxazol-4(5H)-one - dihydroxymagnesium (1:1)","",,"inactive","",,"JOPOQPCBCUIPFX-VWMXNRJTCY","parent [2152-34-3]","","18968-99-5",20067.0,"","","C9H10MgN2O4",,"single chemical compound",,"TD50; Tumor Target Sites","","complex Mg(OH)2","Carcinogenicity","","","68_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2-AMINO-5-PHENYL-2-OXAZOLIN-4-ONE%20+%20Mg(OH)2.html","","",,"defined organic","","","","","","NC1=NC(C(C2=CC=CC=C2)O1)=O.O[Mg]O","","","",,"","rat","no positive results",20067.0,
"O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N","InChI=1/C14H9NO2/c15-8-5-6-11-12(7-8)14(17)10-4-2-1-3-9(10)13(11)16/h1-7H,15H2","active","tested chemical","2-Aminoanthraquinone ",29.0,,0.4519999921321869,"active","",223.226806640625,,"",68.0,"2-amino-9,10-anthraquinone","TR 144",,"active","active",20.0,"XOGPDSATLSAZEK-UHFFFAOYAH","","multisite active; multisex active; multispecies active","117-79-3",20068.0,"liver","","C14H9NO2",101.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","69_CPDBAS_v5d",5.329999923706055,"","http://potency.berkeley.edu/chempages/2-AMINOANTHRAQUINONE.html","TD50 is harmonic mean of more than one positive test","",1190.0,"defined organic","liver","","","hematopoietic system; liver","","O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N","active","","",,"","rat; mouse","no positive results",20068.0,
"CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C","InChI=1/C14H15N3/c1-10-5-3-4-6-14(10)17-16-12-7-8-13(15)11(2)9-12/h3-9H,15H2,1-2H3/b17-16+","active","tested chemical","o-Aminoazotoluene",44.0,,0.017899999395012856,"active","TD50 is harmonic mean of more than one positive test",225.28900146484375,,"",69.0,"2-methyl-4-[(E)-(2-methylphenyl)diazenyl]aniline","",,"active","active",0.0,"PFRYFZZSECNQOL-WUKNDPDIBU","","multisex active","97-56-3",20069.0,"no positive results","","C14H15N3",4.039999961853027,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","70_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/o-AMINOAZOTOLUENE.html","no positive results","",,"defined organic","liver","","","","","CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C","inactive","","",,"","rat; mouse","liver",20069.0,
"OC(=O)CCCCCN","InChI=1/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)/f/h8H","","tested chemical","6-Aminocaproic acid",0.0,,,"inactive","no positive results",131.1741943359375,,"",70.0,"6-aminohexanoic acid","",,"inactive","",,"SLXKOJJOQWFEFD-FZOZFQFYCD","","","60-32-2",20070.0,"","","C6H13NO2",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","71_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/6-AMINOCAPROIC%20ACID.html","","",,"defined organic","no positive results","","","","","OC(=O)CCCCCN","","","",,"","rat","",20070.0,
"NC1=CC=C(C=C1)C2=CC=CC=C2","InChI=1/C12H11N/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,13H2","active","tested chemical","4-Aminodiphenyl",,,,"active","",169.22239685058594,,"",71.0,"biphenyl-4-amine","",,"","active",50.0,"DMVOXQPQNTYEKQ-UHFFFAOYAX","","multisite active; multisex active","92-67-1",20071.0,"liver; urinary bladder","","C12H11N",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","72_CPDBAS_v5d",0.012400000356137753,"","http://potency.berkeley.edu/chempages/4-AMINODIPHENYL.html","TD50 is harmonic mean of more than one positive test","",2.0999999046325684,"defined organic","","","","liver; urinary bladder","","NC1=CC=C(C=C1)C2=CC=CC=C2","active","","",,"","mouse","",20071.0,
"NC1(=CC=C(C=C1)C2=CC=CC=C2)","InChI=1/C12H11N.ClH/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10;/h1-9H,13H2;1H","","tested chemical","4-Aminodiphenyl.HCl",50.0,,0.004800000227987766,"active","",205.68649291992188,,"",72.0,"biphenyl-4-amine hydrochloride","",,"active","active",,"GUHXYHYUBFCYGJ-UHFFFAOYAT","parent  [92-67-1]","","2113-61-3",20072.0,"","","C12H12ClN",0.9800000190734863,"single chemical compound",,"TD50; Tumor Target Sites","","complex HCl","Carcinogenicity","","","73_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/4-AMINODIPHENYL.HCl.html","","",,"defined organic","","","","","","NC1(=CC=C(C=C1)C2=CC=CC=C2).[H]Cl","","","",,"","rat","mammary gland",20072.0,
"NC3=CC1=C(C=C3)OC2=C1C=CC=C2","InChI=1/C12H9NO/c13-8-5-6-12-10(7-8)9-3-1-2-4-11(9)14-12/h1-7H,13H2","active","tested chemical","2-Aminodiphenylene oxide",,,,"active","",183.20919799804688,,"",73.0,"dibenzo[b,d]furan-2-amine","",,"","",47.0,"FFYZMBQLAYDJIG-UHFFFAOYAK","","multisite active; multisex active","3693-22-9",20073.0,"liver; urinary bladder","","C12H9NO",,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","74_CPDBAS_v5d",0.023099999874830246,"","http://potency.berkeley.edu/chempages/2-AMINODIPHENYLENE%20OXIDE.html","TD50 is harmonic mean of more than one positive test; harmonic mean of TD50 includes a value for upper 99% confidence limit from study with 100% tumor incidence but no lifetable","",4.239999771118164,"defined organic","","","","liver","","NC3=CC1=C(C=C3)OC2=C1C=CC=C2","active","","",,"","mouse","",39239.0,
"NCC1(CC(=O)O)CCCCC1","InChI=1/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)/f/h11H","","tested chemical","1-(Aminomethyl)cyclohexaneacetic acid",10.0,,34.20000076293945,"active","",171.23880004882812,,"",74.0,"[1-(aminomethyl)cyclohexyl]acetic acid","",,"active","",,"UGJMXCAKCUNAIE-WXRBYKJCCG","","","60142-96-3",20074.0,"","","C9H17NO2",5850.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","Rat added v3a","","75_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/1-(AMINOMETHYL)CYCLOHEXANEACETIC%20ACID.html","","",,"defined organic","pancreas","","","","","NCC1(CC(=O)O)CCCCC1","","","",,"","rat","no positive results",20074.0,
"OCCN(CCO)c1ccc(N)cc1","InChI=1/C10H16N2O2.H2O4S/c11-9-1-3-10(4-2-9)12(5-7-13)6-8-14;1-5(2,3)4/h1-4,13-14H,5-8,11H2;(H2,1,2,3,4)/f/h;1-2H","inactive","tested chemical","2,2'-[(4-Aminophenyl)imino]bisethanol sulfate",0.0,,,"inactive","no positive results",294.32470703125,,"",75.0,"2,2'-[(4-aminophenyl)imino]diethanol sulfate (salt)","",,"inactive","",,"KMCFMEHSEWDYKG-ATDHBCBACR","parent [7575-35-1]","multisex inactive","54381-16-7",20075.0,"","","C10H18N2O6S",,"single chemical compound",,"TD50; Tumor Target Sites","","complex H2SO4","Carcinogenicity","Rat added v2a","","76_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/2,2'-[(4-AMINOPHENYL)IMINO]BISETHANOL%20SULFATE.html","","",,"defined organic","no positive results","","","","","OS(O)(=O)=O.OCCN(CCO)c1ccc(N)cc1","","","",,"","rat","no positive results",20075.0,
"C1(N=CNN=1)N","InChI=1/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)/f/h5H,3H2","active","tested chemical","3-Aminotriazole",35.0,,0.11800000071525574,"active","TD50 is harmonic mean of more than one positive test",84.08000183105469,,"",76.0,"1H-1,2,4-triazol-3-amine","",,"active","inactive",34.0,"KLSJWNVTNUYHDU-YPUDGCQOCD","tautomers","multisite active; multisex active; multispecies active","61-82-5",20076.0,"liver","","C2H4N4",9.9399995803833,"single chemical compound",0.0,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","77_CPDBAS_v5d",0.3009999990463257,"","http://potency.berkeley.edu/chempages/3-AMINOTRIAZOLE.html","TD50 is harmonic mean of more than one positive test","inactive",25.299999237060547,"defined organic","thyroid gland","no positive results","","liver","","C1(N=CNN=1)N","active","","no positive results",,"no positive results","rat; mouse; hamster","pituitary gland; thyroid gland",20076.0,
"OC(=O)CCCCCCCCCCN","InChI=1/C11H23NO2/c12-10-8-6-4-2-1-3-5-7-9-11(13)14/h1-10,12H2,(H,13,14)/f/h13H","active","tested chemical","11-Aminoundecanoic acid",18.0,,5.460000038146973,"active","",201.30580139160156,,"",77.0,"11-aminoundecanoic acid","TR 216",,"active","inactive",0.0,"GUOSQNAUYHMCRU-NDKGDYFDCZ","","multisite active","2432-99-7",20077.0,"no positive results","","C11H23NO2",1100.0,"single chemical compound",,"TD50; Tumor Target Sites","","parent","Carcinogenicity","","","78_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/11-AMINOUNDECANOIC%20ACID.html","no positive results","",,"defined organic","liver; urinary bladder","","","no positive results","","OC(=O)CCCCCCCCCCN","inactive","","",,"","rat; mouse","no positive results",20077.0,
"","InChI=1/ClH.H3N/h1H;1H3/fCl.H4N/h1h;1H/q-1;+1","","tested chemical","Ammonium chloride",,,,"inactive","",53.49150085449219,,"",78.0,"ammonium chloride","",,"","",0.0,"NLXLAEXVIDQMFP-DWOZJLMICO","","","12125-02-9",20078.0,"","","H4ClN",,"single chemical compound",,"TD50; Tumor Target Sites","","","Carcinogenicity","","","79_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMMONIUM%20CHLORIDE.html","no positive results","",,"inorganic","","","","no positive results","","[H][N+]([H])([H])[H].[Cl-]","inactive","","",,"","mouse","",20078.0,
"C(CC(O)=O)(CC(O)=O)(C(O)=O)O","InChI=1/C6H8O7.2H3N/c7-3(8)1-6(13,5(11)12)2-4(9)10;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);2*1H3/fC6H6O7.2H4N/h7H;2*1H/q-2;2*+1","","tested chemical","Ammonium citrate",0.0,,,"inactive","no positive results",226.18580627441406,,"",79.0,"diammonium 2-(carboxymethyl)-2-hydroxybutanedioate","",,"inactive","",,"YXVFQADLFFNVDS-JYGIMERMCP","parent [77-92-9]","","3012-65-5",20079.0,"","","C6H14N2O7",,"single chemical compound",,"TD50; Tumor Target Sites","","complex 2NH4","Carcinogenicity","","","80_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMMONIUM%20CITRATE.html","","",,"defined organic","no positive results","","","","","C(CC([O-])=O)(CC(O)=O)(C([O-])=O)O.[N+].[N+]","","","",,"","rat","",20079.0,
"","InChI=1/H3N.H2O/h1H3;1H2/fH4N.HO/h1H;1h/q+1;-1","inactive","tested chemical","Ammonium hydroxide",,,,"inactive","",35.045799255371094,,"",80.0,"ammonium hydroxide","",,"","",0.0,"VHUUQVKOLVNVRT-QBBVKLOVCT","","multisex inactive","1336-21-6",20080.0,"no positive results","","H5NO",,"single chemical compound",,"TD50; Tumor Target Sites","","","Carcinogenicity","","","81_CPDBAS_v5d",,"","http://potency.berkeley.edu/chempages/AMMONIUM%20HYDROXIDE.html","no positive results","",,"inorganic","","","","no positive results","","[N+].[O-]","inactive","","",,"","mouse","",20080.0,
